2026-03-08 18:22:52 [INFO] 正在處理 Taipei-city-中正區, 第 1/21 頁, 抓到 20 筆
2026-03-08 18:35:07 [INFO] 正在處理 Taipei-city-大同區, 第 9/13 頁, 抓到 20 筆
2026-03-08 18:35:27 [INFO] 正在處理 Taipei-city-大同區, 第 10/13 頁, 抓到 20 筆
2026-03-08 18:36:03 [INFO] 正在處理 Taipei-city-大同區, 第 11/13 頁, 抓到 20 筆
2026-03-08 18:36:23 [INFO] 正在處理 Taipei-city-大同區, 第 12/13 頁, 抓到 20 筆
2026-03-08 18:36:39 [INFO] 正在處理 Taipei-city-大同區, 第 13/13 頁, 抓到 19 筆
2026-03-08 18:37:03 [INFO] 正在處理 Taipei-city-中山區, 第 1/47 頁, 抓到 20 筆
2026-03-08 18:37:23 [INFO] 正在處理 Taipei-city-中山區, 第 2/47 頁, 抓到 20 筆
2026-03-08 18:38:14 [INFO] 正在處理 Taipei-city-中山區, 第 3/47 頁, 抓到 20 筆
2026-03-08 18:38:50 [INFO] 正在處理 Taipei-city-中山區, 第 4/47 頁, 抓到 20 筆
2026-03-08 18:39:24 [INFO] 正在處理 Taipei-city-中山區, 第 5/47 頁, 抓到 20 筆
2026-03-08 18:40:25 [INFO] 正在處理 Taipei-city-中山區, 第 6/47 頁, 抓到 20 筆
2026-03-08 18:41:13 [INFO] 正在處理 Taipei-city-中山區, 第 7/47 頁, 抓到 20 筆
2026-03-08 18:41:40 [INFO] 正在處理 Taipei-city-中山區, 第 8/47 頁, 抓到 20 筆
2026-03-08 18:41:58 [INFO] 正在處理 Taipei-city-中山區, 第 9/47 頁, 抓到 20 筆
2026-03-08 18:42:35 [INFO] 正在處理 Taipei-city-中山區, 第 10/47 頁, 抓到 20 筆
2026-03-08 18:43:02 [INFO] 正在處理 Taipei-city-中山區, 第 11/47 頁, 抓到 20 筆
2026-03-08 18:43:23 [INFO] 正在處理 Taipei-city-中山區, 第 12/47 頁, 抓到 20 筆
2026-03-08 18:43:54 [INFO] 正在處理 Taipei-city-中山區, 第 13/47 頁, 抓到 20 筆
2026-03-08 18:44:07 [INFO] 正在處理 Taipei-city-中山區, 第 14/47 頁, 抓到 20 筆
2026-03-08 18:44:41 [INFO] 正在處理 Taipei-city-中山區, 第 15/47 頁, 抓到 20 筆
2026-03-08 18:45:05 [INFO] 正在處理 Taipei-city-中山區, 第 16/47 頁, 抓到 20 筆
2026-03-08 18:45:32 [INFO] 正在處理 Taipei-city-中山區, 第 17/47 頁, 抓到 20 筆
2026-03-08 18:46:06 [INFO] 正在處理 Taipei-city-中山區, 第 18/47 頁, 抓到 20 筆
2026-03-08 18:46:34 [INFO] 正在處理 Taipei-city-中山區, 第 19/47 頁, 抓到 20 筆
2026-03-08 18:46:50 [INFO] 正在處理 Taipei-city-中山區, 第 20/47 頁, 抓到 20 筆
2026-03-08 18:47:26 [INFO] 正在處理 Taipei-city-中山區, 第 21/47 頁, 抓到 20 筆
2026-03-08 18:47:53 [INFO] 正在處理 Taipei-city-中山區, 第 22/47 頁, 抓到 20 筆
2026-03-08 18:48:46 [INFO] 正在處理 Taipei-city-中山區, 第 23/47 頁, 抓到 20 筆
2026-03-08 18:49:18 [INFO] 正在處理 Taipei-city-中山區, 第 24/47 頁, 抓到 20 筆
2026-03-08 18:49:45 [INFO] 正在處理 Taipei-city-中山區, 第 25/47 頁, 抓到 20 筆
2026-03-08 18:50:08 [INFO] 正在處理 Taipei-city-中山區, 第 26/47 頁, 抓到 20 筆
2026-03-08 18:50:55 [INFO] 正在處理 Taipei-city-中山區, 第 27/47 頁, 抓到 20 筆
2026-03-08 18:51:17 [INFO] 正在處理 Taipei-city-中山區, 第 28/47 頁, 抓到 20 筆
2026-03-08 18:51:45 [INFO] 正在處理 Taipei-city-中山區, 第 29/47 頁, 抓到 20 筆
2026-03-08 18:52:27 [INFO] 正在處理 Taipei-city-中山區, 第 30/47 頁, 抓到 20 筆
2026-03-08 18:53:04 [INFO] 正在處理 Taipei-city-中山區, 第 31/47 頁, 抓到 20 筆
2026-03-08 18:53:30 [INFO] 正在處理 Taipei-city-中山區, 第 32/47 頁, 抓到 20 筆
2026-03-08 18:54:00 [INFO] 正在處理 Taipei-city-中山區, 第 33/47 頁, 抓到 20 筆
2026-03-08 18:54:26 [INFO] 正在處理 Taipei-city-中山區, 第 34/47 頁, 抓到 20 筆
2026-03-08 18:54:56 [INFO] 正在處理 Taipei-city-中山區, 第 35/47 頁, 抓到 20 筆
2026-03-08 18:55:15 [INFO] 正在處理 Taipei-city-中山區, 第 36/47 頁, 抓到 20 筆
2026-03-08 18:55:38 [INFO] 正在處理 Taipei-city-中山區, 第 37/47 頁, 抓到 20 筆
2026-03-08 18:55:53 [INFO] 正在處理 Taipei-city-中山區, 第 38/47 頁, 抓到 20 筆
2026-03-08 18:56:00 [INFO] 正在處理 Taipei-city-中山區, 第 39/47 頁, 抓到 20 筆
2026-03-08 18:56:19 [INFO] 正在處理 Taipei-city-中山區, 第 40/47 頁, 抓到 20 筆
2026-03-08 18:56:32 [INFO] 正在處理 Taipei-city-中山區, 第 41/47 頁, 抓到 20 筆
2026-03-08 18:56:42 [INFO] 正在處理 Taipei-city-中山區, 第 42/47 頁, 抓到 20 筆
2026-03-08 18:57:08 [INFO] 正在處理 Taipei-city-中山區, 第 43/47 頁, 抓到 20 筆
2026-03-08 18:57:29 [INFO] 正在處理 Taipei-city-中山區, 第 44/47 頁, 抓到 20 筆
2026-03-08 18:57:55 [INFO] 正在處理 Taipei-city-中山區, 第 45/47 頁, 抓到 20 筆
2026-03-08 18:58:01 [INFO] 正在處理 Taipei-city-中山區, 第 46/47 頁, 抓到 20 筆
2026-03-08 18:58:06 [INFO] 正在處理 Taipei-city-中山區, 第 47/47 頁, 抓到 4 筆
2026-03-08 18:58:13 [INFO] 正在處理 Taipei-city-松山區, 第 1/25 頁, 抓到 20 筆
2026-03-08 18:58:32 [INFO] 正在處理 Taipei-city-松山區, 第 2/25 頁, 抓到 20 筆
2026-03-08 18:58:50 [INFO] 正在處理 Taipei-city-松山區, 第 3/25 頁, 抓到 20 筆
2026-03-08 18:59:21 [INFO] 正在處理 Taipei-city-松山區, 第 4/25 頁, 抓到 20 筆
2026-03-08 18:59:32 [INFO] 正在處理 Taipei-city-松山區, 第 5/25 頁, 抓到 20 筆
2026-03-08 18:59:59 [INFO] 正在處理 Taipei-city-松山區, 第 6/25 頁, 抓到 20 筆
2026-03-08 19:00:12 [INFO] 正在處理 Taipei-city-松山區, 第 7/25 頁, 抓到 20 筆
2026-03-08 19:00:29 [INFO] 正在處理 Taipei-city-松山區, 第 8/25 頁, 抓到 20 筆
2026-03-08 19:00:52 [INFO] 正在處理 Taipei-city-松山區, 第 9/25 頁, 抓到 20 筆
2026-03-08 19:01:15 [INFO] 正在處理 Taipei-city-松山區, 第 10/25 頁, 抓到 20 筆
2026-03-08 19:01:39 [INFO] 正在處理 Taipei-city-松山區, 第 11/25 頁, 抓到 20 筆
2026-03-08 19:02:06 [INFO] 正在處理 Taipei-city-松山區, 第 12/25 頁, 抓到 20 筆
2026-03-08 19:02:22 [INFO] 正在處理 Taipei-city-松山區, 第 13/25 頁, 抓到 20 筆
2026-03-08 19:02:29 [INFO] 正在處理 Taipei-city-松山區, 第 14/25 頁, 抓到 20 筆
2026-03-08 19:02:42 [INFO] 正在處理 Taipei-city-松山區, 第 15/25 頁, 抓到 20 筆
2026-03-08 19:02:59 [INFO] 正在處理 Taipei-city-松山區, 第 16/25 頁, 抓到 20 筆
2026-03-08 19:03:17 [INFO] 正在處理 Taipei-city-松山區, 第 17/25 頁, 抓到 20 筆
2026-03-08 19:03:33 [INFO] 正在處理 Taipei-city-松山區, 第 18/25 頁, 抓到 20 筆
2026-03-08 19:04:06 [INFO] 正在處理 Taipei-city-松山區, 第 19/25 頁, 抓到 20 筆
2026-03-08 19:04:37 [INFO] 正在處理 Taipei-city-松山區, 第 20/25 頁, 抓到 20 筆
2026-03-08 19:04:55 [INFO] 正在處理 Taipei-city-松山區, 第 21/25 頁, 抓到 20 筆
2026-03-08 19:05:14 [INFO] 正在處理 Taipei-city-松山區, 第 22/25 頁, 抓到 20 筆
2026-03-08 19:05:27 [INFO] 正在處理 Taipei-city-松山區, 第 23/25 頁, 抓到 20 筆
2026-03-08 19:05:47 [INFO] 正在處理 Taipei-city-松山區, 第 24/25 頁, 抓到 20 筆
2026-03-08 19:06:06 [INFO] 正在處理 Taipei-city-松山區, 第 25/25 頁, 抓到 14 筆
2026-03-08 19:06:21 [INFO] 正在處理 Taipei-city-大安區, 第 1/48 頁, 抓到 20 筆
2026-03-08 19:06:41 [INFO] 正在處理 Taipei-city-大安區, 第 2/48 頁, 抓到 20 筆
2026-03-08 19:07:07 [INFO] 正在處理 Taipei-city-大安區, 第 3/48 頁, 抓到 20 筆
2026-03-08 19:07:41 [INFO] 正在處理 Taipei-city-大安區, 第 4/48 頁, 抓到 20 筆
2026-03-08 19:07:51 [INFO] 正在處理 Taipei-city-大安區, 第 5/48 頁, 抓到 20 筆
2026-03-08 19:08:08 [INFO] 正在處理 Taipei-city-大安區, 第 6/48 頁, 抓到 20 筆
2026-03-08 19:08:25 [INFO] 正在處理 Taipei-city-大安區, 第 7/48 頁, 抓到 20 筆
2026-03-08 19:08:57 [INFO] 正在處理 Taipei-city-大安區, 第 8/48 頁, 抓到 20 筆
2026-03-08 19:09:36 [INFO] 正在處理 Taipei-city-大安區, 第 9/48 頁, 抓到 20 筆
2026-03-08 19:10:09 [INFO] 正在處理 Taipei-city-大安區, 第 10/48 頁, 抓到 20 筆
2026-03-08 19:10:22 [INFO] 正在處理 Taipei-city-大安區, 第 11/48 頁, 抓到 20 筆
2026-03-08 19:10:35 [INFO] 正在處理 Taipei-city-大安區, 第 12/48 頁, 抓到 20 筆
2026-03-08 19:11:11 [INFO] 正在處理 Taipei-city-大安區, 第 13/48 頁, 抓到 20 筆
2026-03-08 19:11:32 [INFO] 正在處理 Taipei-city-大安區, 第 14/48 頁, 抓到 20 筆
2026-03-08 19:11:49 [INFO] 正在處理 Taipei-city-大安區, 第 15/48 頁, 抓到 20 筆
2026-03-08 19:11:56 [INFO] 正在處理 Taipei-city-大安區, 第 16/48 頁, 抓到 20 筆
2026-03-08 19:12:02 [INFO] 正在處理 Taipei-city-大安區, 第 17/48 頁, 抓到 20 筆
2026-03-08 19:12:28 [INFO] 正在處理 Taipei-city-大安區, 第 18/48 頁, 抓到 20 筆
2026-03-08 19:12:52 [INFO] 正在處理 Taipei-city-大安區, 第 19/48 頁, 抓到 20 筆
2026-03-08 19:13:16 [INFO] 正在處理 Taipei-city-大安區, 第 20/48 頁, 抓到 20 筆
2026-03-08 19:13:45 [INFO] 正在處理 Taipei-city-大安區, 第 21/48 頁, 抓到 20 筆
2026-03-08 19:13:55 [INFO] 正在處理 Taipei-city-大安區, 第 22/48 頁, 抓到 20 筆
2026-03-08 19:14:19 [INFO] 正在處理 Taipei-city-大安區, 第 23/48 頁, 抓到 20 筆
2026-03-08 19:14:47 [INFO] 正在處理 Taipei-city-大安區, 第 24/48 頁, 抓到 20 筆
2026-03-08 19:15:08 [INFO] 正在處理 Taipei-city-大安區, 第 25/48 頁, 抓到 20 筆
2026-03-08 19:15:24 [INFO] 正在處理 Taipei-city-大安區, 第 26/48 頁, 抓到 20 筆
2026-03-08 19:15:41 [INFO] 正在處理 Taipei-city-大安區, 第 27/48 頁, 抓到 20 筆
2026-03-08 19:16:01 [INFO] 正在處理 Taipei-city-大安區, 第 28/48 頁, 抓到 20 筆
2026-03-08 19:16:24 [INFO] 正在處理 Taipei-city-大安區, 第 29/48 頁, 抓到 20 筆
2026-03-08 19:16:44 [INFO] 正在處理 Taipei-city-大安區, 第 30/48 頁, 抓到 20 筆
2026-03-08 19:17:11 [INFO] 正在處理 Taipei-city-大安區, 第 31/48 頁, 抓到 20 筆
2026-03-08 19:17:34 [INFO] 正在處理 Taipei-city-大安區, 第 32/48 頁, 抓到 20 筆
2026-03-08 19:18:18 [INFO] 正在處理 Taipei-city-大安區, 第 33/48 頁, 抓到 20 筆
2026-03-08 19:18:41 [INFO] 正在處理 Taipei-city-大安區, 第 34/48 頁, 抓到 20 筆
2026-03-08 19:19:01 [INFO] 正在處理 Taipei-city-大安區, 第 35/48 頁, 抓到 20 筆
2026-03-08 19:19:23 [INFO] 正在處理 Taipei-city-大安區, 第 36/48 頁, 抓到 20 筆
2026-03-08 19:19:42 [INFO] 正在處理 Taipei-city-大安區, 第 37/48 頁, 抓到 20 筆
2026-03-08 19:20:22 [INFO] 正在處理 Taipei-city-大安區, 第 38/48 頁, 抓到 20 筆
2026-03-08 19:20:29 [INFO] 正在處理 Taipei-city-大安區, 第 39/48 頁, 抓到 20 筆
2026-03-08 19:20:35 [INFO] 正在處理 Taipei-city-大安區, 第 40/48 頁, 抓到 20 筆
2026-03-08 19:20:47 [INFO] 正在處理 Taipei-city-大安區, 第 41/48 頁, 抓到 20 筆
2026-03-08 19:21:03 [INFO] 正在處理 Taipei-city-大安區, 第 42/48 頁, 抓到 20 筆
2026-03-08 19:21:13 [INFO] 正在處理 Taipei-city-大安區, 第 43/48 頁, 抓到 20 筆
2026-03-08 19:21:23 [INFO] 正在處理 Taipei-city-大安區, 第 44/48 頁, 抓到 20 筆
2026-03-08 19:21:29 [INFO] 正在處理 Taipei-city-大安區, 第 45/48 頁, 抓到 20 筆
2026-03-08 19:21:42 [INFO] 正在處理 Taipei-city-大安區, 第 46/48 頁, 抓到 20 筆
2026-03-08 19:21:55 [INFO] 正在處理 Taipei-city-大安區, 第 47/48 頁, 抓到 20 筆
2026-03-08 19:22:04 [INFO] 正在處理 Taipei-city-大安區, 第 48/48 頁, 抓到 13 筆
2026-03-08 19:22:16 [INFO] 正在處理 Taipei-city-萬華區, 第 1/17 頁, 抓到 20 筆
2026-03-08 19:22:32 [INFO] 正在處理 Taipei-city-萬華區, 第 2/17 頁, 抓到 20 筆
2026-03-08 19:22:52 [INFO] 正在處理 Taipei-city-萬華區, 第 3/17 頁, 抓到 20 筆
2026-03-08 19:23:15 [INFO] 正在處理 Taipei-city-萬華區, 第 4/17 頁, 抓到 20 筆
2026-03-08 19:23:35 [INFO] 正在處理 Taipei-city-萬華區, 第 5/17 頁, 抓到 20 筆
2026-03-08 19:23:38 [INFO] 正在處理 Taipei-city-萬華區, 第 6/17 頁, 抓到 20 筆
2026-03-08 19:23:54 [INFO] 正在處理 Taipei-city-萬華區, 第 7/17 頁, 抓到 20 筆
2026-03-08 19:24:08 [INFO] 正在處理 Taipei-city-萬華區, 第 8/17 頁, 抓到 20 筆
2026-03-08 19:24:27 [INFO] 正在處理 Taipei-city-萬華區, 第 9/17 頁, 抓到 20 筆
2026-03-08 19:24:40 [INFO] 正在處理 Taipei-city-萬華區, 第 10/17 頁, 抓到 20 筆
2026-03-08 19:25:03 [INFO] 正在處理 Taipei-city-萬華區, 第 11/17 頁, 抓到 20 筆
2026-03-08 19:25:23 [INFO] 正在處理 Taipei-city-萬華區, 第 12/17 頁, 抓到 20 筆
2026-03-08 19:25:35 [INFO] 正在處理 Taipei-city-萬華區, 第 13/17 頁, 抓到 20 筆
2026-03-08 19:25:52 [INFO] 正在處理 Taipei-city-萬華區, 第 14/17 頁, 抓到 20 筆
2026-03-08 19:25:58 [INFO] 正在處理 Taipei-city-萬華區, 第 15/17 頁, 抓到 20 筆
2026-03-08 19:26:11 [INFO] 正在處理 Taipei-city-萬華區, 第 16/17 頁, 抓到 20 筆
2026-03-08 19:26:18 [INFO] 正在處理 Taipei-city-萬華區, 第 17/17 頁, 抓到 7 筆
2026-03-08 19:26:27 [INFO] 正在處理 Taipei-city-信義區, 第 1/31 頁, 抓到 20 筆
2026-03-08 19:26:51 [INFO] 正在處理 Taipei-city-信義區, 第 2/31 頁, 抓到 20 筆
2026-03-08 19:27:21 [INFO] 正在處理 Taipei-city-信義區, 第 3/31 頁, 抓到 20 筆
2026-03-08 19:27:51 [INFO] 正在處理 Taipei-city-信義區, 第 4/31 頁, 抓到 20 筆
2026-03-08 19:28:28 [INFO] 正在處理 Taipei-city-信義區, 第 5/31 頁, 抓到 20 筆
2026-03-08 19:29:09 [INFO] 正在處理 Taipei-city-信義區, 第 6/31 頁, 抓到 20 筆
2026-03-08 19:29:44 [INFO] 正在處理 Taipei-city-信義區, 第 7/31 頁, 抓到 20 筆
2026-03-08 19:30:19 [INFO] 正在處理 Taipei-city-信義區, 第 8/31 頁, 抓到 20 筆
2026-03-08 19:30:35 [INFO] 正在處理 Taipei-city-信義區, 第 9/31 頁, 抓到 20 筆
2026-03-08 19:30:57 [INFO] 正在處理 Taipei-city-信義區, 第 10/31 頁, 抓到 20 筆
2026-03-08 19:31:17 [INFO] 正在處理 Taipei-city-信義區, 第 11/31 頁, 抓到 20 筆
2026-03-08 19:31:37 [INFO] 正在處理 Taipei-city-信義區, 第 12/31 頁, 抓到 20 筆
2026-03-08 19:32:10 [INFO] 正在處理 Taipei-city-信義區, 第 13/31 頁, 抓到 20 筆
2026-03-08 19:32:40 [INFO] 正在處理 Taipei-city-信義區, 第 14/31 頁, 抓到 20 筆
2026-03-08 19:33:19 [INFO] 正在處理 Taipei-city-信義區, 第 15/31 頁, 抓到 20 筆
2026-03-08 19:33:44 [INFO] 正在處理 Taipei-city-信義區, 第 16/31 頁, 抓到 20 筆
2026-03-08 19:34:07 [INFO] 正在處理 Taipei-city-信義區, 第 17/31 頁, 抓到 20 筆
2026-03-08 19:34:43 [INFO] 正在處理 Taipei-city-信義區, 第 18/31 頁, 抓到 20 筆
2026-03-08 19:35:00 [INFO] 正在處理 Taipei-city-信義區, 第 19/31 頁, 抓到 20 筆
2026-03-08 19:35:27 [INFO] 正在處理 Taipei-city-信義區, 第 20/31 頁, 抓到 20 筆
2026-03-08 19:36:10 [INFO] 正在處理 Taipei-city-信義區, 第 21/31 頁, 抓到 20 筆
2026-03-08 19:36:30 [INFO] 正在處理 Taipei-city-信義區, 第 22/31 頁, 抓到 20 筆
2026-03-08 19:36:50 [INFO] 正在處理 Taipei-city-信義區, 第 23/31 頁, 抓到 20 筆
2026-03-08 19:37:13 [INFO] 正在處理 Taipei-city-信義區, 第 24/31 頁, 抓到 20 筆
2026-03-08 19:37:42 [INFO] 正在處理 Taipei-city-信義區, 第 25/31 頁, 抓到 20 筆
2026-03-08 19:38:02 [INFO] 正在處理 Taipei-city-信義區, 第 26/31 頁, 抓到 20 筆
2026-03-08 19:38:23 [INFO] 正在處理 Taipei-city-信義區, 第 27/31 頁, 抓到 20 筆
2026-03-08 19:38:55 [INFO] 正在處理 Taipei-city-信義區, 第 28/31 頁, 抓到 20 筆
2026-03-08 19:39:18 [INFO] 正在處理 Taipei-city-信義區, 第 29/31 頁, 抓到 20 筆
2026-03-08 19:39:35 [INFO] 正在處理 Taipei-city-信義區, 第 30/31 頁, 抓到 20 筆
2026-03-08 19:39:53 [INFO] 正在處理 Taipei-city-信義區, 第 31/31 頁, 抓到 11 筆
2026-03-08 19:40:08 [INFO] 正在處理 Taipei-city-士林區, 第 1/28 頁, 抓到 20 筆
2026-03-08 19:40:31 [INFO] 正在處理 Taipei-city-士林區, 第 2/28 頁, 抓到 20 筆
2026-03-08 19:41:29 [INFO] 正在處理 Taipei-city-士林區, 第 3/28 頁, 抓到 20 筆
2026-03-08 19:41:58 [INFO] 正在處理 Taipei-city-士林區, 第 4/28 頁, 抓到 20 筆
2026-03-08 19:42:37 [INFO] 正在處理 Taipei-city-士林區, 第 5/28 頁, 抓到 20 筆
2026-03-08 19:43:24 [INFO] 正在處理 Taipei-city-士林區, 第 6/28 頁, 抓到 20 筆
2026-03-08 19:43:56 [INFO] 正在處理 Taipei-city-士林區, 第 7/28 頁, 抓到 20 筆
2026-03-08 19:44:49 [INFO] 正在處理 Taipei-city-士林區, 第 8/28 頁, 抓到 20 筆
2026-03-08 19:45:18 [INFO] 正在處理 Taipei-city-士林區, 第 9/28 頁, 抓到 20 筆
2026-03-08 19:45:54 [INFO] 正在處理 Taipei-city-士林區, 第 10/28 頁, 抓到 20 筆
2026-03-08 19:46:14 [INFO] 正在處理 Taipei-city-士林區, 第 11/28 頁, 抓到 20 筆
2026-03-08 19:46:37 [INFO] 正在處理 Taipei-city-士林區, 第 12/28 頁, 抓到 20 筆
2026-03-08 19:47:09 [INFO] 正在處理 Taipei-city-士林區, 第 13/28 頁, 抓到 20 筆
2026-03-08 19:47:45 [INFO] 正在處理 Taipei-city-士林區, 第 14/28 頁, 抓到 20 筆
2026-03-08 19:48:14 [INFO] 正在處理 Taipei-city-士林區, 第 15/28 頁, 抓到 20 筆
2026-03-08 19:48:43 [INFO] 正在處理 Taipei-city-士林區, 第 16/28 頁, 抓到 20 筆
2026-03-08 19:49:31 [INFO] 正在處理 Taipei-city-士林區, 第 17/28 頁, 抓到 20 筆
2026-03-08 19:50:20 [INFO] 正在處理 Taipei-city-士林區, 第 18/28 頁, 抓到 20 筆
2026-03-08 19:50:52 [INFO] 正在處理 Taipei-city-士林區, 第 19/28 頁, 抓到 20 筆
2026-03-08 19:51:37 [INFO] 正在處理 Taipei-city-士林區, 第 20/28 頁, 抓到 20 筆
2026-03-08 19:52:31 [INFO] 正在處理 Taipei-city-士林區, 第 21/28 頁, 抓到 20 筆
2026-03-08 19:53:00 [INFO] 正在處理 Taipei-city-士林區, 第 22/28 頁, 抓到 20 筆
2026-03-08 19:53:31 [INFO] 正在處理 Taipei-city-士林區, 第 23/28 頁, 抓到 20 筆
2026-03-08 19:53:49 [INFO] 正在處理 Taipei-city-士林區, 第 24/28 頁, 抓到 20 筆
2026-03-08 19:54:05 [INFO] 正在處理 Taipei-city-士林區, 第 25/28 頁, 抓到 20 筆
2026-03-08 19:54:20 [INFO] 正在處理 Taipei-city-士林區, 第 26/28 頁, 抓到 20 筆
2026-03-08 19:54:38 [INFO] 正在處理 Taipei-city-士林區, 第 27/28 頁, 抓到 20 筆
2026-03-08 19:54:50 [INFO] 正在處理 Taipei-city-士林區, 第 28/28 頁, 抓到 13 筆
2026-03-08 19:54:58 [INFO] 正在處理 Taipei-city-北投區, 第 1/21 頁, 抓到 20 筆
2026-03-08 19:56:02 [INFO] 正在處理 Taipei-city-北投區, 第 2/21 頁, 抓到 20 筆
2026-03-08 19:56:51 [INFO] 正在處理 Taipei-city-北投區, 第 3/21 頁, 抓到 20 筆
2026-03-08 19:57:30 [INFO] 正在處理 Taipei-city-北投區, 第 4/21 頁, 抓到 20 筆
2026-03-08 19:58:19 [INFO] 正在處理 Taipei-city-北投區, 第 5/21 頁, 抓到 20 筆
2026-03-08 19:58:51 [INFO] 正在處理 Taipei-city-北投區, 第 6/21 頁, 抓到 20 筆
2026-03-08 19:59:34 [INFO] 正在處理 Taipei-city-北投區, 第 7/21 頁, 抓到 20 筆
2026-03-08 20:00:01 [INFO] 正在處理 Taipei-city-北投區, 第 8/21 頁, 抓到 20 筆
2026-03-08 20:00:12 [INFO] 正在處理 Taipei-city-北投區, 第 9/21 頁, 抓到 20 筆
2026-03-08 20:01:26 [INFO] 正在處理 Taipei-city-北投區, 第 10/21 頁, 抓到 20 筆
2026-03-08 20:01:43 [WARNING] 解析某筆房屋資料失敗: 'NoneType' object has no attribute 'group'
2026-03-08 20:02:36 [INFO] 正在處理 Taipei-city-北投區, 第 11/21 頁, 抓到 20 筆
2026-03-08 20:03:28 [INFO] 正在處理 Taipei-city-北投區, 第 12/21 頁, 抓到 20 筆
2026-03-08 20:05:00 [INFO] 正在處理 Taipei-city-北投區, 第 13/21 頁, 抓到 20 筆
2026-03-08 20:06:29 [INFO] 正在處理 Taipei-city-北投區, 第 14/21 頁, 抓到 20 筆
2026-03-08 20:07:20 [INFO] 正在處理 Taipei-city-北投區, 第 15/21 頁, 抓到 20 筆
2026-03-08 20:08:15 [INFO] 正在處理 Taipei-city-北投區, 第 16/21 頁, 抓到 20 筆
2026-03-08 20:09:27 [INFO] 正在處理 Taipei-city-北投區, 第 17/21 頁, 抓到 20 筆
2026-03-08 20:10:42 [INFO] 正在處理 Taipei-city-北投區, 第 18/21 頁, 抓到 20 筆
2026-03-08 20:11:16 [INFO] 正在處理 Taipei-city-北投區, 第 19/21 頁, 抓到 20 筆
2026-03-08 20:12:06 [INFO] 正在處理 Taipei-city-北投區, 第 20/21 頁, 抓到 20 筆
2026-03-08 20:12:32 [INFO] 正在處理 Taipei-city-北投區, 第 21/21 頁, 抓到 11 筆
2026-03-08 20:13:02 [INFO] 正在處理 Taipei-city-內湖區, 第 1/37 頁, 抓到 20 筆
